Quote,Author

"No matter how many weapons you have, no matter how great your technology might be, the world cannot live without love.","Sheeta, 'Castle in the Sky' (1986)"
"The Earth speaks to all of us, and if we listen, we can understand","Uncle Pomme, 'Castle In The Sky' (1986)"

"Everybody, try laughing. Then whatever scares you will go away!","Tatsuo Kusakabe, 'My Neighbor Totoro' (1988)"

"It’s not really important what color your dress is. What matters is the heart inside.","Kiki’s Delivery Service (1989)"
"Just follow your heart and keep smiling","Kiki’s Delivery Service (1989)"

"The rough stone is inside of you. You have to find it…and then polish it.","Whisper of the Heart (1995)"

"Life is suffering. It is hard. The world is cursed. But still, you find reasons to keep on living.","Leonardo Santamaria, 'Princess Mononoke' (1997)"

"Once you’ve met someone you never really forget them. It just takes a while for your memories to return.","Zeniba, 'Spirited Away' (2001)"
"Nothing that happens is ever forgotten, even if you can't remember it","Zeniba, 'Spirited Away' (2001)"

"Always believe in yourself. Do this and no matter where you are, you will have nothing to fear.","The Cat Returns (2002)"
"Whenever someone creates something with all of their heart, then that creation is given a soul","The Cat Returns (2002)"
"Always believe in yourself. Do this and no matter where you are, you will have nothing to fear.","The Baron, 'The Cat Returns' (2002)"

"One thing you can always count on is that hearts change.","Howl’s Moving Castle (2004)"

